,(not set),Anonymous User,Registered User,Subscriber - Piano,Subscriber - Quadrant,Unknown,Segment total,Total Users,Total subscribers
2020-06-27,1211.0,87205,6460,25973.0,,,120849.0,135287,25973.0
2020-06-28,807.0,66884,2826,15745.0,,,86262.0,92602,15745.0
2020-06-29,1615.0,49658,4845,18571.0,,,74689.0,86837,18571.0
2020-06-30,1346.0,66749,3634,18571.0,,,90300.0,102880,18571.0
2020-07-01,1480.0,57329,2826,20859.0,,,82494.0,95810,20859.0
2020-07-02,1615.0,115465,6190,24223.0,,,147493.0,157476,24223.0
2020-07-03,1480.0,121117,3903,19110.0,,,145610.0,155022,19110.0
2020-07-04,807.0,72401,3903,21263.0,135.0,,98509.0,111495,21398.0
2020-07-05,404.0,52080,2557,13727.0,,,68768.0,82036,13727.0
2020-07-06,1211.0,55445,2422,17629.0,,135.0,76842.0,87704,17629.0
2020-07-07,1346.0,52080,2691,17629.0,,,73746.0,85104,17629.0
2020-07-08,942.0,42257,2153,19110.0,,,64462.0,74767,19110.0
2020-07-09,1615.0,62712,4037,20859.0,,,89223.0,104725,20859.0
2020-07-10,1211.0,71998,3499,17091.0,,,93799.0,100430,17091.0
2020-07-11,1077.0,97701,4441,18168.0,,,121387.0,126611,18168.0
2020-07-12,1077.0,59348,2019,14400.0,,,76844.0,88155,14400.0
2020-07-13,673.0,42257,2153,17629.0,,,62712.0,72636,17629.0
2020-07-14,807.0,45352,3364,18840.0,,,68363.0,82988,18840.0
2020-07-15,1077.0,54368,2826,19783.0,,,78054.0,90831,19783.0
2020-07-16,2422.0,67422,6190,22339.0,,,98373.0,116448,22339.0
2020-07-17,1211.0,58271,2961,19379.0,,,81822.0,93215,19379.0
2020-07-18,1346.0,51542,3634,16956.0,,,73478.0,85299,16956.0
2020-07-19,1346.0,45217,2153,15611.0,,135.0,64462.0,75102,15611.0
2020-07-20,1346.0,51811,2557,18571.0,,,74285.0,88820,18571.0
2020-07-21,807.0,48985,2961,17898.0,,,70651.0,85758,17898.0
2020-07-22,1615.0,43737,2019,19244.0,,,66615.0,72698,19244.0
2020-07-23,1211.0,48043,4441,17898.0,,135.0,71728.0,88105,17898.0
2020-07-24,404.0,50735,2153,17764.0,,,71056.0,82005,17764.0
2020-07-25,538.0,45217,2557,16014.0,,135.0,64461.0,74644,16014.0
2020-07-26,673.0,45083,2288,15207.0,,,63251.0,75545,15207.0
2020-07-27,673.0,43871,1884,16014.0,,135.0,62577.0,77441,16014.0
2020-07-28,538.0,32971,2288,17629.0,,135.0,53561.0,63235,17629.0
2020-07-29,1077.0,42526,3095,17360.0,,,64058.0,74303,17360.0
